,date,text,followers,polarity,sentiment_confidence,clusters
0,2019-11-24 22:35:14,b'@elonmusk @Erdayastronaut SpaceX rocket becoming Cybertrucks \xf0\x9f\xa7\x90 Pretty sure we will see this truck on the Moon and M\xe2\x80\xa6 https://t.co/oRoMcpWfrb',3,0.4,0.912962962962963,0
1,2019-11-24 22:35:09,"b'#TeslaSolarIssues $tsla $tslaq\n""DO NOT DEAL WITH THESE PEOPLE!""\n\n""I HAVE NOT SAVED ANY MONEY."" https://t.co/a12Ew9lx9u'",87,0.0,0.0,1
2,2019-11-24 22:35:00,"b'$F $TSLA Chinas Rare-Earth Boost Threatens U.S., Australia Growth Plans via https://t.co/dU2ohMsCEH'",216,0.0,0.0,1
3,2019-11-24 22:34:21,b'RT @moesalih_: Yeah. The #CYBERTRUCK is the ugly one \xf0\x9f\x99\x84 $tsla https://t.co/gnyvzhNIJ8',35,-0.7,1.0,2
4,2019-11-24 22:34:14,b'RT @GerberKawasaki: Now people are calling for a cybercar @elonmusk $tsla #tesla',694,0.0,0.0,1
5,2019-11-24 22:34:10,"b'RT @vincent13031925: Tesla CYBRTRK vs Rivian R1T vs Ford F-150: Specs, Price, and Performance Comparison\n\n\xf0\x9f\x8d\x8fvs \xf0\x9f\x8d\x8e vs \xf0\x9f\x8d\x8e\n\nMust read: https://t.\xe2\x80\xa6'",168,0.0,0.0,1
6,2019-11-24 22:34:05,b'RT @moesalih_: Yeah. The #CYBERTRUCK is the ugly one \xf0\x9f\x99\x84 $tsla https://t.co/gnyvzhNIJ8',48,-0.7,1.0,2
7,2019-11-24 22:33:58,"b'But saving the earth, right?\n\n$TSLA $TSLAQ https://t.co/sEn97kNVLZ'",1468,0.0,0.0,1
8,2019-11-24 22:33:50,b'So the Model Y didnt meet that threshold... bullish?\n$TSLA $TSLAQ https://t.co/YGmq4KsRaY',468,0.0,0.0,1
9,2019-11-24 22:33:49,"b'@notgrubles Tend to agree. @elonmusk needs to do something about $BTC, but will have to be well prepared to refute\xe2\x80\xa6 https://t.co/2OJWwolWfR'",234,0.0,0.0,1
10,2019-11-24 22:33:42,"b'RT @vincent13031925: Tesla CYBRTRK vs Rivian R1T vs Ford F-150: Specs, Price, and Performance Comparison\n\n\xf0\x9f\x8d\x8fvs \xf0\x9f\x8d\x8e vs \xf0\x9f\x8d\x8e\n\nMust read: https://t.\xe2\x80\xa6'",14,0.0,0.0,1
11,2019-11-24 22:33:03,b'RT @SuperMugatu: This is the greatest thing to come out of the Tesla $TSLA Cybertruck announcement. @elonmusk please support. \n\nhttps://t.c\xe2\x80\xa6',1357,1.0,1.0,0
12,2019-11-24 22:32:58,"b'@Quarry_Rock TSLA TRUCK PREORDERS AT 180K TODAY! BOOM 15$ rebound this week bitches,  mark that Shit down'",113,-0.1777777777777778,0.5444444444444445,0
13,2019-11-24 22:32:50,"b""RT @ShortingIsFun: Flashback to those that forgot Unsworth Vs. Musk is coming up soon during this weekend's CyberTruck Pump-a-thon CYA sess\xe2\x80\xa6""",47,0.0,0.0,1
14,2019-11-24 22:32:43,"b'@Sandro_power $STUDY the stock option plan skill examples, in $AAPL  and $TSLA.'",11,0.0,0.0,1
15,2019-11-24 22:32:21,"b'RT @vincent13031925: Tesla CYBRTRK vs Rivian R1T vs Ford F-150: Specs, Price, and Performance Comparison\n\n\xf0\x9f\x8d\x8fvs \xf0\x9f\x8d\x8e vs \xf0\x9f\x8d\x8e\n\nMust read: https://t.\xe2\x80\xa6'",50,0.0,0.0,1
16,2019-11-24 22:32:06,"b'$TSLA $SPX:\n\nTesla\xe2\x80\x99s Cybertruck doesn\xe2\x80\x99t look street legal, but pre-orders are pouring in:\n\nhttps://t.co/LeUouRyMT6'",2693,0.2,0.2,1
17,2019-11-24 22:32:01,"b'RT @vincent13031925: Tesla CYBRTRK vs Rivian R1T vs Ford F-150: Specs, Price, and Performance Comparison\n\n\xf0\x9f\x8d\x8fvs \xf0\x9f\x8d\x8e vs \xf0\x9f\x8d\x8e\n\nMust read: https://t.\xe2\x80\xa6'",366,0.0,0.0,1
18,2019-11-24 22:31:55,b'RT @GerberKawasaki: Now people are calling for a cybercar @elonmusk $tsla #tesla',3293,0.0,0.0,1
19,2019-11-24 22:31:45,"b'RT @vincent13031925: Tesla CYBRTRK vs Rivian R1T vs Ford F-150: Specs, Price, and Performance Comparison\n\n\xf0\x9f\x8d\x8fvs \xf0\x9f\x8d\x8e vs \xf0\x9f\x8d\x8e\n\nMust read: https://t.\xe2\x80\xa6'",45,0.0,0.0,1
20,2019-11-24 22:31:33,"b'RT @AlterViggo: Update on Tesla CyberTruck orders. Given the apparent offset when @elonmusk announced 146k orders, current orders might be\xe2\x80\xa6'",949,0.025,0.375,1
21,2019-11-24 22:31:28,"b""RT @ShortingIsFun: Flashback to those that forgot Unsworth Vs. Musk is coming up soon during this weekend's CyberTruck Pump-a-thon CYA sess\xe2\x80\xa6""",994,0.0,0.0,1
22,2019-11-24 22:31:21,"b""RT @PlainSite: The previously restricted $TSLA Tripp police report has been released. It's stunning. Pages 1-4, below. https://t.co/CWRGxs3\xe2\x80\xa6""",4879,0.16666666666666669,0.5833333333333334,0
23,2019-11-24 22:31:05,b'https://t.co/kuSizqward   $TSLA  @elonmusk  Elon is smart enough to figure out and lead #QuantumComputing\xe2\x80\xa6 https://t.co/SX0TTLqIV2',1097,0.10714285714285714,0.5714285714285714,0
