,date,text,followers,polarity,sentiment_confidence
0,2019-11-28 19:54:57,"b'NEW PRICE- Transit City 2 Assignment Sale \xc2\xb7 Original price: $448,900. \xc2\xb7 20% already paid \xc2\xb7 Total sq ft: (638 sqft i\xe2\x80\xa6 https://t.co/FCK3hfefva'",54,-0.05965909090909091,0.7386363636363636
1,2019-11-28 19:54:50,"b'Ski, spa and golf property for sale! Large studio apartment in Aspen Golf Resort, near Bansko.\nSize: 46 sq.m.\nPrice\xe2\x80\xa6 https://t.co/mbGgp9ylxl'",69,0.15714285714285714,0.41428571428571426
2,2019-11-28 19:54:47,b'RT @_iAlyssa_: \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8aResearch the Getty Museum...a 940K sq ft fireproof pedophile fortress with 12 stories underground. \n\n2 mi\xe2\x80\xa6',898,0.0,0.0
3,2019-11-28 19:54:46,"b'RT @timhpcc: Labour will apparently plant 2 billion trees in the next 20 years. That works out at about 11,145 trees per hour. Based on the\xe2\x80\xa6'",12,0.025,0.175
4,2019-11-28 19:53:59,"b'RT @timhpcc: Labour will apparently plant 2 billion trees in the next 20 years. That works out at about 11,145 trees per hour. Based on the\xe2\x80\xa6'",191,0.025,0.175
5,2019-11-28 19:53:24,"b'RT @HeyTammyBruce: Neat, quiet view of an empty Times Sq earlier this morning while on my way to the studio \xf0\x9f\x98\x8d https://t.co/LqlSl3UdOI'",131,-0.03333333333333333,0.4444444444444444
6,2019-11-28 19:53:09,b'@Westerns_SQ Sure',6235,0.5,0.8888888888888888
7,2019-11-28 19:52:51,b'RT @_iAlyssa_: \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8aResearch the Getty Museum...a 940K sq ft fireproof pedophile fortress with 12 stories underground. \n\n2 mi\xe2\x80\xa6',27613,0.0,0.0
8,2019-11-28 19:52:38,b'@Casey_Pup @mysticaquarium @GeorgiaAquarium @MarinelandCan @NOAA @MarineMammalCom @USDA @AWIOnline @IUCNCetaceanSG\xe2\x80\xa6 https://t.co/oNf2trAkU9',15996,0.0,0.0
9,2019-11-28 19:52:35,"b'RT @timhpcc: Labour will apparently plant 2 billion trees in the next 20 years. That works out at about 11,145 trees per hour. Based on the\xe2\x80\xa6'",1220,0.025,0.175
10,2019-11-28 19:52:03,b'@piitou7 Enjoy \xf0\x9f\x98\x8a',77,0.4,0.5
11,2019-11-28 19:51:46,"b""RT @8fca8b5354c1454: Adam doesn't even live in Calif. He and his family live in a 3240 sq ft home in Potomac, Md. With a landline. He only\xe2\x80\xa6""",4461,0.13636363636363635,0.5
12,2019-11-28 19:51:27,b'Sikh man donates 900 sq ft land for building mosque in UP\xe2\x80\x99s Muzaffarnagar https://t.co/R4e38TzHHs',258,0.0,0.0
13,2019-11-28 19:50:50,b'RT @_iAlyssa_: \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8aResearch the Getty Museum...a 940K sq ft fireproof pedophile fortress with 12 stories underground. \n\n2 mi\xe2\x80\xa6',3394,0.0,0.0
14,2019-11-28 19:50:37,"b'RT @timhpcc: Labour will apparently plant 2 billion trees in the next 20 years. That works out at about 11,145 trees per hour. Based on the\xe2\x80\xa6'",465,0.025,0.175
15,2019-11-28 19:50:08,b'RT @WSJ_manga: D.Gray-man (Jump SQ) reached a total of 336.841 copies (Volume 26 only).\nBoruto (V-Jump) reached a total of 600.845 copies.',75,0.0,0.75
16,2019-11-28 19:50:06,b'RT @WSJ_manga: Extra:\n\nDragon Ball Super (V-Jump) reached a total of 1.312.679 copies sold.\nRurouni Kenshin: Hokkaido Arc (Jump SQ) reached\xe2\x80\xa6',75,0.16666666666666666,0.7083333333333333
17,2019-11-28 19:49:14,b'@Brief_Sq What a disappointment Brief!!!!!! What the hell is wrong w yr name',276,-0.3666666666666667,0.5444444444444444
18,2019-11-28 19:49:12,b'RT @_iAlyssa_: \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8aResearch the Getty Museum...a 940K sq ft fireproof pedophile fortress with 12 stories underground. \n\n2 mi\xe2\x80\xa6',1133,0.0,0.0
